location,total_sqft,bath,balcony,price,bhk,per_squre_price
Seegehalli,3000.0,4.0,2.0,240.0,3,8000.0
Ramamurthy Nagar,3700.0,4.0,1.0,225.0,4,6081.081081081081
Sarjapur  Road,1367.0,2.0,0.0,80.0,2,5852.231163130944
Raja Rajeshwari Nagar,1580.0,2.0,2.0,66.85,3,4231.012658227847
Sarjapur  Road,1043.0,2.0,1.0,39.5,2,3787.152444870566
Electronic City Phase II,1140.0,2.0,1.0,33.84,2,2968.421052631579
Hosur Road,1194.0,2.0,0.0,69.0,2,5778.894472361809
Bannerghatta Road,1520.0,2.0,3.0,80.0,3,5263.1578947368425
Varthur,1615.0,3.0,2.0,69.43,3,4299.071207430341
BTM 2nd Stage,1750.0,3.0,3.0,172.0,3,9828.57142857143
Kathriguppe,1390.0,2.0,2.0,76.45,3,5500.0
Kanakapura,1120.0,2.0,2.0,39.2,2,3500.0000000000005
Sarjapur  Road,1278.0,2.0,2.0,90.0,2,7042.2535211267605
Kadugodi,1100.0,2.0,1.0,45.0,2,4090.909090909091
TC Palaya,1440.0,5.0,2.0,97.0,5,6736.111111111111
Hosur Road,1766.0,3.0,1.0,130.0,3,7361.268403171008
Marathahalli,1050.0,2.0,1.0,65.0,2,6190.476190476191
Attibele,1175.0,2.0,1.0,29.38,2,2500.425531914894
Bommasandra Industrial Area,1250.0,3.0,3.0,50.0,3,4000.0
Bannerghatta Road,1711.0,3.0,2.0,125.0,3,7305.669199298656
Panathur,1125.0,2.0,2.0,45.0,2,4000.0
Manorayana Palya,1140.0,2.0,2.0,52.0,2,4561.403508771929
Hebbal,1075.0,2.0,3.0,52.0,2,4837.209302325581
Defence Colony,1150.0,2.0,2.0,125.0,2,10869.565217391304
Basaveshwara Nagar Yelahanka,1950.0,4.0,3.0,95.0,3,4871.794871794872
Jalahalli,1200.0,4.0,0.0,90.0,4,7500.0
Kanakpura Road,1077.0,2.0,1.0,37.7,2,3500.464252553389
Begur Road,952.0,2.0,1.0,42.0,2,4411.764705882353
Chikkadunnasandra,1200.0,2.0,2.0,45.0,2,3750.0
Tumkur Road,1137.5,2.0,0.0,48.905,2,4299.340659340659
Ramamurthy Nagar,1500.0,9.0,2.0,250.0,7,16666.666666666668
Hebbal,1760.0,2.0,2.0,123.0,3,6988.636363636364
Hoodi,1644.0,3.0,3.0,80.51,3,4897.20194647202
Judicial Layout,1100.0,4.0,3.0,199.0,5,18090.90909090909
Vasantha Vallabha Nagar,1280.0,2.0,1.0,100.0,3,7812.5
Sneha Colony,1260.0,2.0,2.0,45.0,2,3571.428571428572
Hennur Road,2047.0,3.0,2.0,67.55,3,3299.951148021494
Tumkur Road,1459.0,2.0,1.0,110.0,3,7539.410555174777
Electronic City,710.0,2.0,2.0,16.0,2,2253.521126760563
Nelamangala,820.0,2.0,2.0,30.0,2,3658.5365853658536
Nagarbhavi,1850.0,2.0,2.0,88.0,3,4756.756756756757
Sarjapur  Road,615.0,1.0,0.0,17.835,1,2900.0
Babusapalaya,1450.0,2.0,1.0,55.99,2,3861.379310344827
Arekere,600.0,1.0,1.0,28.0,1,4666.666666666667
Sarjapur  Road,1000.0,2.0,1.0,67.0,2,6700.0
Kengeri,1540.0,2.0,3.0,64.0,3,4155.844155844156
Hosur Road,1345.0,2.0,2.0,108.0,2,8029.739776951673
Sarjapur  Road,1592.0,3.0,1.0,91.0,3,5716.08040201005
AECS Layout,1123.0,2.0,2.0,64.0,2,5699.020480854853
Mysore Road,1340.0,2.0,2.0,64.31,3,4799.253731343284
Kodihalli,1000.0,2.0,1.0,62.0,2,6200.0
Dasarahalli,1333.0,2.0,1.0,86.65,2,6500.375093773443
Banashankari,2400.0,1.0,1.0,200.0,1,8333.333333333334
Kanakpura Road,1698.0,2.0,1.0,105.0,2,6183.745583038869
Chikku Lakshmaiah Layout,2292.0,2.0,1.0,285.0,3,12434.554973821989
T C Palya main Road,1175.0,2.0,1.0,48.72,2,4146.382978723404
CV Raman Nagar,1070.0,2.0,2.0,47.5,2,4439.252336448598
Whitefield,2134.0,4.0,2.0,118.0,3,5529.522024367385
Kasturi Nagar,1100.0,2.0,2.0,58.0,2,5272.727272727273
Hoskote,1170.0,2.0,3.0,45.0,2,3846.153846153846
Uttarahalli,1320.0,2.0,3.0,55.44,3,4200.0
Nayandanahalli,1600.0,7.0,1.0,104.0,7,6500.0
Rachenahalli,2721.0,3.0,2.0,113.0,3,4152.884968761485
Uttarahalli,938.0,2.0,0.0,35.0,2,3731.3432835820895
Marathahalli,1350.0,2.0,1.0,89.0,2,6592.592592592592
Bellandur,1457.0,2.0,2.0,85.0,2,5833.905284831846
Haralur Road,1140.0,2.0,2.0,58.0,2,5087.719298245615
Electronic City,1128.0,2.0,1.0,67.0,2,5939.7163120567375
Rachenahalli,1530.0,2.0,2.0,74.5,3,4869.281045751634
Sonnenahalli,1059.0,2.0,1.0,62.0,2,5854.579792256846
Singasandra,1010.0,2.0,1.0,40.0,2,3960.3960396039606
Varthur,1085.0,2.0,1.0,45.0,2,4147.465437788019
Thanisandra,934.0,2.0,2.0,55.0,2,5888.650963597431
Vittasandra,1246.0,2.0,1.0,63.0,2,5056.179775280899
Kumaraswami Layout,600.0,2.0,1.0,72.0,2,12000.0
Kambipura,883.0,2.0,1.0,49.0,2,5549.263873159683
Basapura,1100.0,2.0,1.0,60.0,2,5454.545454545455
Kada Agrahara,935.0,2.0,2.0,35.0,2,3743.315508021391
1st Phase JP Nagar,1590.0,3.0,3.0,131.0,3,8238.993710691824
Raghavendra Layout,1770.0,3.0,2.0,90.0,3,5084.745762711865
Old Madras Road,1171.0,2.0,2.0,75.0,2,6404.782237403928
Hebbal,1200.0,2.0,1.0,49.0,2,4083.3333333333335
Gottigere,1100.0,2.0,2.0,40.0,2,3636.363636363637
Bommenahalli,832.0,3.0,1.0,77.0,3,9254.807692307691
Hebbal,823.0,2.0,1.0,50.63,2,6151.883353584447
Hiremath Layout,1435.0,3.0,3.0,70.0,3,4878.048780487805
Gunjur Palya,993.0,2.0,2.0,42.0,2,4229.607250755287
6th Phase JP Nagar,1213.0,2.0,1.0,63.0,2,5193.734542456719
1st Phase JP Nagar,4550.0,2.0,1.0,240.0,4,5274.725274725275
Vadarpalya,1750.0,3.0,2.0,85.0,3,4857.142857142857
Whitefield,3940.0,5.0,3.0,265.0,4,6725.888324873096
Kasavanhalli,1125.0,2.0,1.0,61.2,2,5440.0
Kanakpura Road,1220.0,2.0,2.0,60.0,2,4918.0327868852455
Hoysalanagar,1325.0,2.0,3.0,56.0,3,4226.415094339623
Banashankari Stage VI,1177.5,2.0,0.0,59.935,2,5090.0212314225055
Whitefield,1096.0,2.0,1.0,39.0,2,3558.394160583942
Sarjapur  Road,715.0,1.0,2.0,29.0,1,4055.944055944056
Malleshwaram,2800.0,4.0,2.0,252.0,4,9000.0
2nd Block Jayanagar,1000.0,2.0,1.0,97.0,2,9700.0
7th Phase JP Nagar,1100.0,2.0,2.0,44.0,2,4000.0
Raghavendra Nagar,2431.0,3.0,1.0,100.0,3,4113.533525298231
8th Block Jayanagar,2800.0,2.0,0.0,650.0,2,23214.285714285717
Kammasandra,657.5,1.0,0.0,18.41,1,2800.0
Electronic City,1070.0,2.0,1.0,58.0,2,5420.560747663551
Hosur Road,1175.0,2.0,2.0,48.0,3,4085.106382978724
Akshaya Nagar,1300.0,2.0,2.0,66.0,2,5076.923076923077
elachenahalli,1258.0,2.0,0.0,58.0,2,4610.492845786964
Kasavanhalli,1147.0,2.0,1.0,60.0,2,5231.037489102006
Kanakpura Road,1591.0,3.0,1.0,120.0,3,7542.42614707731
Electronics City Phase 1,1550.0,2.0,2.0,82.0,3,5290.322580645161
Amruthahalli,1200.0,2.0,2.0,55.0,2,4583.333333333333
Ambedkar Nagar,1950.0,4.0,2.0,120.0,3,6153.846153846154
Shantiniketan Layout,925.0,2.0,2.0,48.0,2,5189.189189189189
Uttarahalli,1255.0,2.0,3.0,50.19,3,3999.203187250996
Vibuthipura,2150.0,4.0,1.0,80.0,4,3720.9302325581393
Channasandra,1195.0,2.0,1.0,56.0,3,4686.192468619247
Uttarahalli,1260.0,2.0,2.0,55.0,2,4365.079365079365
Vittasandra,1648.0,3.0,2.0,85.0,3,5157.766990291262
Hoodi,1250.0,2.0,2.0,98.0,2,7840.0
Jigani,914.0,2.0,2.0,55.0,2,6017.505470459519
Rayasandra,1708.0,3.0,2.0,75.0,3,4391.100702576113
Magadi Road,5000.0,6.0,1.0,360.0,5,7200.0
Vijayanagar,1450.0,3.0,0.0,100.0,3,6896.551724137931
Harlur,1197.0,2.0,1.0,82.0,2,6850.459482038429
Kengeri Satellite Town Stage II,500.0,1.0,1.0,20.0,1,4000.0
Ramamurthy Nagar,850.0,2.0,1.0,65.0,4,7647.058823529412
Nagavarapalya,907.0,2.0,2.0,38.0,2,4189.636163175303
Hebbal,1040.0,2.0,1.0,55.0,2,5288.461538461538
Sarakki Nagar,1200.0,4.0,1.0,85.0,4,7083.333333333333
Bannerghatta Road,1200.0,2.0,0.0,125.0,4,10416.666666666666
Uttarahalli,1540.0,2.0,0.0,40.0,3,2597.4025974025976
7th Phase JP Nagar,1450.0,2.0,1.0,102.0,3,7034.482758620689
HAL 2nd Stage,1000.0,7.0,3.0,250.0,7,25000.0
Jakkur,1417.0,2.0,3.0,75.0,2,5292.87226534933
Adityanagar,1260.0,1.0,0.0,41.0,1,3253.968253968254
Dodda Nekkundi,1155.0,2.0,1.0,46.0,2,3982.683982683983
Panathur,1050.0,2.0,2.0,60.0,2,5714.285714285715
JCR Layout,1160.0,2.0,1.0,40.53,2,3493.9655172413795
Williams Town,1500.0,2.0,2.0,98.0,3,6533.333333333333
Thanisandra,1098.0,2.0,1.0,68.0,2,6193.078324225865
Jalahalli,1200.0,2.0,1.0,66.0,1,5500.0
Harlur,1710.0,3.0,2.0,85.0,3,4970.7602339181285
Gunjur,1362.0,3.0,1.0,62.63,3,4598.384728340676
Whitefield,1386.0,3.0,1.0,57.46,3,4145.743145743146
Yelenahalli,1175.0,2.0,2.0,50.0,2,4255.31914893617
JP Nagar,1405.0,2.0,1.0,99.0,2,7046.26334519573
Srirampura,1450.0,6.0,0.0,250.0,6,17241.379310344826
Hebbal,1080.0,2.0,1.0,54.0,2,5000.0
Jnana Ganga Nagar,1230.0,2.0,2.0,70.0,2,5691.056910569106
KR Puram,1140.0,2.0,1.0,43.32,2,3800.0
Whitefield,1660.0,3.0,1.0,110.0,3,6626.506024096386
